date,state,prediction,predicted_delta_12,lag_12
2020-03-01,west_virginia,151.66666666666666,6.666666666666667,145.0
2020-03-01,wisconsin,330.0,13.0,317.0
2020-03-01,wyoming,380.55555555555554,14.555555555555555,366.0
2020-04-01,alabama,263.77777777777777,6.777777777777778,257.0
2020-04-01,alaska,18.666666666666668,1.6666666666666667,17.0
2020-04-01,arizona,653.6666666666666,62.666666666666664,591.0
2020-04-01,arkansas,139.66666666666666,0.6666666666666666,139.0
2020-04-01,california,5804.888888888889,372.8888888888889,5432.0
2020-04-01,colorado,1227.2222222222222,85.22222222222223,1142.0
2020-04-01,connecticut,71.55555555555556,0.5555555555555556,71.0
2020-04-01,delaware,11.0,0.0,11.0
2020-04-01,district_of_columbia,5.0,0.0,5.0
2020-04-01,east_north_central,4192.222222222223,272.22222222222223,3920.0
2020-04-01,east_south_central,545.6666666666666,11.666666666666666,534.0
2020-04-01,florida,795.7777777777778,43.77777777777778,752.0
2020-04-01,georgia,635.5555555555555,36.55555555555556,599.0
2020-04-01,hawaii,101.77777777777777,3.7777777777777777,98.0
2020-04-01,idaho,362.3333333333333,28.333333333333332,334.0
2020-04-01,illinois,1787.111111111111,123.11111111111111,1664.0
2020-04-01,indiana,829.2222222222222,48.22222222222222,781.0
2020-04-01,iowa,3092.6666666666665,216.66666666666666,2876.0
2020-04-01,kansas,2133.777777777778,176.77777777777777,1957.0
2020-04-01,kentucky,9.0,-3.0,12.0
2020-04-01,louisiana,165.33333333333334,-4.666666666666667,170.0
2020-04-01,maine,429.0,12.0,417.0
2020-04-01,maryland,140.77777777777777,8.777777777777779,132.0
2020-04-01,massachusetts,228.88888888888889,11.88888888888889,217.0
2020-04-01,michigan,940.5555555555555,68.55555555555556,872.0
2020-04-01,middle_atlantic,1329.6666666666667,49.666666666666664,1280.0
