date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-08-01,west_virginia,71.2318244170096,3.923182441700961,67.30864197530865,92.0,57.0
2019-08-01,wisconsin,192.5761316872428,1.0576131687242782,191.5185185185185,187.0,179.0
2019-08-01,wyoming,276.5898491083676,18.05898491083676,258.53086419753083,313.0,218.0
2019-09-01,alabama,272.60082304526753,-1.1399176954732486,273.74074074074076,302.0,279.0
2019-09-01,alaska,27.07544581618656,2.5075445816186557,24.567901234567902,15.0,20.0
2019-09-01,arizona,502.3539094650206,48.83539094650206,453.51851851851853,546.0,369.0
2019-09-01,arkansas,106.41700960219478,-2.558299039780522,108.9753086419753,129.0,112.0
2019-09-01,california,5265.463648834019,313.8463648834019,4951.617283950617,5435.0,4405.0
2019-09-01,colorado,1062.9286694101509,80.79286694101509,982.1358024691358,1168.0,824.0
2019-09-01,connecticut,87.21124828532237,2.4211248285322364,84.79012345679013,81.0,80.0
2019-09-01,delaware,10.094650205761317,-0.09053497942386832,10.185185185185185,10.0,10.0
2019-09-01,district_of_columbia,4.0,0.0,4.0,5.0,4.0
2019-09-01,east_north_central,2369.7105624142664,177.87105624142663,2191.8395061728397,2251.0,1879.0
2019-09-01,east_south_central,516.6378600823044,1.5637860082304467,515.074074074074,616.0,516.0
2019-09-01,florida,380.0740740740741,2.4074074074074097,377.6666666666667,718.0,372.0
2019-09-01,georgia,563.5020576131687,30.650205761316872,532.8518518518518,652.0,481.0
2019-09-01,hawaii,149.2551440329218,7.62551440329218,141.62962962962962,95.0,126.0
2019-09-01,idaho,178.22222222222223,11.222222222222221,167.0,318.0,145.0
2019-09-01,illinois,942.2373113854594,79.32373113854595,862.9135802469135,937.0,725.0
2019-09-01,indiana,393.6282578875172,32.86282578875172,360.7654320987655,410.0,298.0
2019-09-01,iowa,2062.3827160493825,171.93827160493825,1890.4444444444443,2252.0,1579.0
2019-09-01,kansas,1521.0713305898491,136.2071330589849,1384.8641975308642,2211.0,1143.0
2019-09-01,kentucky,47.21399176954733,3.621399176954733,43.592592592592595,29.0,40.0
2019-09-01,louisiana,225.58573388203018,1.7585733882030183,223.82716049382717,208.0,226.0
2019-09-01,maine,312.46227709190674,-0.25377229080932767,312.71604938271605,331.0,320.0
2019-09-01,maryland,110.55555555555556,6.555555555555555,104.0,119.0,94.0
2019-09-01,massachusetts,214.7434842249657,11.27434842249657,203.46913580246914,216.0,184.0
2019-09-01,michigan,653.7407407407406,47.07407407407407,606.6666666666666,524.0,531.0
2019-09-01,middle_atlantic,1035.9533607681756,34.59533607681755,1001.358024691358,1036.0,908.0
2019-09-01,minnesota,1202.7215363511657,79.67215363511657,1123.0493827160492,1195.0,990.0
